54.4: 2.0 2.0 (6), 138 (30) 58 122
55.0: 2.0 2.0 (5), 138 (18) 56 124
55.5: 2.0 2.0 (4), 148 (31) 63 117
55.6: 2.0 2.0 (2), -180 (0) 270
55.7: 2.0 2.0 (2), 117 (0) 44 136
55.8: 2.0 2.0 (2), 90 (0) 32 148
55.9: 2.1 2.0 (12), 132 (29) 52 128
56.5: 2.0 2.0 (2), 153 (0) 64 116
59.0: 2.0 2.0 (4), 166 (13) 69 111
60.3: 2.0 2.0 (2), 153 (0) 58 122
61.6: 2.0 2.0 (9), -124 (39) 318 222
61.7: 2.0 2.0 (7), -138 (32) 312 228
61.8: 2.0 2.0 (22), -139 (32) 312 228
61.9: 2.0 2.0 (37), -123 (30) 319 221
62.0: 2.0 2.0 (10), -151 (20) 306 234
62.1: 2.0 2.0 (12), -131 (32) 316 224
62.2: 2.0 2.0 (16), -120 (31) 320 220
62.3: 2.0 2.0 (6), -99 (13) 328 212
62.4: 2.0 2.0 (9), -133 (18) 315 225
62.5: 2.0 2.0 (10), -113 (23) 323 217
62.6: 2.0 2.0 (12), -141 (33) 312 228 90
62.7: 2.0 2.0 (7), -131 (34) 316 224
62.8: 2.0 2.0 (9), -123 (24) 320 220
62.9: 2.0 2.0 (10), -148 (20) 309 231
63.0: 2.0 2.0 (6), -90 (0) 332 208
63.1: 2.0 2.0 (8), -128 (39) 318 222
63.2: 2.0 2.0 (8), -119 (22) 321 219
63.3: 2.0 2.0 (7), -141 (32) 312 228 90
63.5: 2.0 2.0 (8), -115 (27) 323 217
63.6: 2.0 2.0 (2), -180 (0) 290 250 71 109
63.7: 2.0 2.0 (6), -108 (13) 326 214
63.9: 2.0 2.0 (4), -135 (18) 316 224
64.0: 2.0 2.0 (2), -117 (0) 323 217
64.1: 2.0 2.0 (2), -90 (0) 332 208
64.5: 2.0 2.0 (2), -180 (0) 292 248 69 111
64.7: 2.0 2.0 (4), -135 (18) 316 224
88.8: 3.5 2.0 (12), 19 (7) 4 176
90.5: 2.0 2.0 (3092), -14 (21) 357 183
92.4: 3.9 2.0 (6073), 10 (12) 2 178
94.8: 2.0 2.5 (229), -80 (12) 344 196 80 100
94.9: 2.9 4.9 (639446), -115 (0) 336 204 60 120
95.0: 2.0 3.1 (428), -85 (10) 343 197 75 105
95.9: 2.0 2.0 (2), 90 (0) 291 249 18 162
99.1: 2.0 3.0 (12692), -102 (12) 340 200 60 120
101.3: 2.3 2.0 (12), 55 (20) 270 10 170
101.4: 2.4 2.1 (571662), -80 (0) 345 195 67 113
101.5: 2.0 2.0 (4), 90 (0) 297 243 17 163
104.1: 2.0 3.3 (89), -119 (17) 338 202 51 129
104.2: 2.2 4.9 (631698), -174 (0) 326 214 37 143
104.3: 2.0 3.2 (94), -130 (18) 336 204 47 133
105.1: 2.9 2.0 (170), 170 (13) 323 217 32 148
105.2: 4.5 2.4 (623511), 172 (11) 323 217 33 147
105.3: 2.3 2.0 (63), 178 (12) 325 215 34 146
106.1: 2.0 2.0 (38199), 174 (11) 324 216 33 147
106.2: 2.0 2.0 (6), 171 (13) 323 217 32 148
106.5: 2.0 2.0 (912), -159 (24) 330 210 39 141
106.6: 2.1 2.1 (9133), -179 (11) 326 214 35 145
106.7: 5.7 4.7 (639693), 173 (9) 324 216 33 147
106.8: 2.0 2.4 (38287), -170 (15) 328 212 36 144
106.9: 2.3 3.8 (139826), -161 (14) 330 210 38 142
107.0: 10.7 18.6 (639984), -158 (4) 331 209 39 141
107.1: 2.3 3.9 (119183), -159 (14) 331 209 39 141
107.2: 2.0 2.5 (3936), -166 (14) 329 211 37 143
107.3: 2.0 2.0 (244), -176 (11) 327 213 35 145
107.4: 2.0 2.0 (130443), 179 (11) 326 214 34 146
107.5: 2.0 2.0 (23), -177 (8) 327 213 35 145
284.8: 2.0 2.0 (2), 90 (0) 313 227 342 198 6 174 32 148 71 109
