26.8: 4.3 4.6 (5201), 164 (13) 90
26.9: 4.4 4.6 (5366), 157 (14) 90
27.0: 4.7 4.5 (5361), 152 (14) 90
27.1: 4.7 4.4 (5469), 148 (15) 90
27.2: 4.8 4.4 (5283), 146 (16) 90
27.3: 4.8 4.5 (5316), 145 (16) 90
27.4: 4.5 4.2 (5184), 144 (17) 90
27.5: 4.2 4.3 (5107), 141 (18) 90
27.6: 3.9 4.2 (4755), 137 (19) 90
27.7: 3.8 4.4 (4836), 132 (19) 90
27.8: 3.5 4.3 (4430), 129 (20) 90
27.9: 3.0 3.8 (3670), 125 (21) 90
28.0: 2.0 2.0 (32), 147 (35) 90
42.2: 2.0 2.0 (2), -90 (0) 315 225
42.3: 2.0 2.0 (6), -90 (0) 315 225
42.4: 2.0 2.0 (4), -117 (0) 294 246
42.5: 2.0 2.0 (2), -90 (0) 315 225
42.6: 2.0 2.0 (6), -90 (0) 315 225
42.7: 2.0 2.0 (4), -90 (0) 316 224
42.8: 2.0 2.0 (2), -117 (0) 295 245
42.9: 2.0 2.0 (2), -117 (0) 295 245
43.0: 2.0 2.0 (2), -90 (0) 316 224
43.1: 2.0 2.0 (11), -95 (10) 313 227
43.2: 2.0 2.0 (12), -94 (10) 314 226
43.3: 2.0 2.0 (27), -98 (18) 311 229
43.4: 2.0 2.0 (31), -97 (17) 312 228
43.5: 2.0 2.0 (38), -102 (20) 309 231
43.6: 2.0 2.0 (77), -105 (20) 307 233
43.7: 2.0 2.0 (100), -109 (25) 304 236
43.8: 2.0 2.0 (165), -124 (29) 290 250
43.9: 2.0 2.0 (90), -110 (24) 304 236
44.0: 2.0 2.0 (133), -108 (21) 305 235
44.1: 2.0 2.0 (96), -103 (19) 309 231
44.2: 2.0 2.0 (193), -104 (17) 309 231
44.3: 2.0 2.0 (183), -103 (19) 309 231
44.4: 2.0 2.0 (300), -104 (18) 309 231
44.5: 2.0 2.0 (281), -103 (18) 310 230
44.6: 2.0 2.0 (208), -103 (20) 310 230
44.7: 2.0 2.0 (206), -105 (23) 309 231
44.8: 2.0 2.0 (304), -110 (22) 305 235
44.9: 2.0 2.0 (390), -114 (27) 302 238
45.0: 2.1 2.0 (4500), -161 (23) 270
45.1: 2.0 2.0 (429), -109 (22) 306 234
45.2: 2.0 2.0 (538), -106 (20) 309 231
45.3: 2.0 2.0 (498), -107 (23) 308 232
45.4: 2.0 2.0 (535), -105 (20) 310 230
45.5: 2.0 2.0 (503), -101 (19) 313 227
45.6: 2.0 2.0 (572), -102 (18) 312 228
45.7: 2.0 2.0 (414), -103 (20) 312 228
45.8: 2.0 2.0 (373), -103 (19) 312 228
45.9: 2.0 2.0 (377), -103 (19) 312 228
46.0: 2.0 2.0 (185), -103 (19) 312 228
46.1: 2.0 2.0 (477), -105 (20) 311 229
46.2: 2.0 2.0 (552), -102 (19) 313 227
46.3: 2.0 2.0 (387), -104 (21) 312 228
46.4: 2.0 2.0 (454), -103 (20) 313 227
46.5: 2.0 2.0 (293), -100 (17) 314 226
46.6: 2.0 2.0 (210), -98 (16) 316 224
46.7: 2.0 2.0 (226), -102 (21) 314 226
46.8: 2.0 2.0 (187), -100 (17) 315 225
46.9: 2.0 2.0 (162), -100 (18) 315 225
47.0: 2.0 2.0 (120), -96 (12) 317 223
47.1: 2.0 2.0 (171), -99 (19) 316 224
47.2: 2.0 2.0 (155), -101 (21) 315 225
47.3: 2.0 2.0 (95), -101 (22) 315 225
47.4: 2.0 2.0 (73), -99 (17) 316 224
47.5: 2.0 2.0 (60), -107 (26) 312 228
47.6: 2.0 2.0 (52), -109 (28) 311 229
47.7: 2.0 2.0 (38), -93 (12) 320 220
47.8: 2.0 2.0 (44), -113 (30) 308 232
47.9: 2.0 2.0 (62), -104 (26) 314 226
48.0: 2.0 2.0 (65), -121 (28) 303 237
48.1: 2.0 2.0 (57), -105 (26) 314 226
48.2: 2.0 2.0 (52), -114 (26) 308 232
48.3: 2.0 2.0 (61), -134 (31) 292 248
48.4: 2.0 2.0 (66), -134 (36) 293 247
48.5: 2.0 2.0 (67), -120 (34) 305 235
48.6: 2.0 2.0 (61), -120 (28) 305 235
48.7: 2.0 2.0 (33), -132 (39) 296 244
48.8: 2.0 2.0 (67), -143 (35) 284 256
48.9: 2.0 2.0 (60), -142 (35) 285 255
49.0: 2.1 2.0 (57), -124 (35) 303 237
49.1: 2.1 2.0 (81), -133 (33) 296 244
49.2: 2.2 2.0 (64), -128 (33) 300 240
49.3: 2.0 2.0 (82), -140 (38) 289 251
49.4: 2.0 2.0 (123), -140 (33) 289 251
49.5: 2.0 2.0 (87), -142 (43) 287 253
49.6: 2.2 2.0 (109), -150 (34) 270
49.7: 2.2 2.0 (63), -156 (31) 270
49.8: 2.2 2.0 (70), -145 (30) 285 255
49.9: 2.1 2.0 (79), -152 (31) 270
50.0: 2.2 2.0 (837), 132 (65) 62 118
50.1: 2.2 2.0 (70), -152 (28) 270
50.2: 2.3 2.0 (52), -146 (30) 285 255
50.3: 2.3 2.0 (40), -144 (33) 288 252
50.4: 2.5 2.0 (16), -161 (12) 270
51.6: 2.0 2.0 (11), 78 (24) 30 150
51.7: 2.0 2.0 (2), 90 (0) 35 145
51.8: 2.0 2.0 (2), 117 (0) 49 131
51.9: 2.0 2.0 (4), 90 (0) 35 145
52.0: 2.0 2.0 (4), 90 (0) 35 145
52.1: 2.0 2.0 (2), 90 (0) 35 145
52.2: 2.0 2.0 (2), 90 (0) 35 145
52.3: 2.0 2.0 (10), 95 (11) 37 143
52.4: 2.0 2.0 (1), 90 (0) 35 145
52.5: 2.0 2.0 (6), 90 (0) 35 145
52.6: 2.0 2.0 (1), 117 (0) 48 132
