24.9: 2.0 4.0 (2), -153 (0) 270
25.0: 2.0 3.0 (8), -173 (12) 270
25.1: 2.0 6.5 (532), -135 (19) 270
25.2: 2.1 7.3 (1265), -132 (17) 270
25.3: 2.1 6.8 (1273), -134 (20) 270
25.4: 2.1 6.5 (1664), -132 (20) 270
25.5: 2.2 6.3 (1615), -134 (21) 270
25.6: 2.2 5.9 (2098), -136 (23) 270
25.7: 2.2 4.8 (2407), -145 (24) 270
25.8: 2.3 4.7 (3191), -143 (24) 270
25.9: 2.3 4.1 (3359), -145 (24) 270
26.0: 2.5 3.9 (3898), -145 (23) 270
26.1: 2.7 3.7 (3722), -144 (21) 270
26.2: 2.9 3.5 (4334), -143 (21) 270
26.3: 3.3 3.2 (4168), -141 (21) 270
26.4: 4.1 3.3 (4259), -135 (19) 270
26.5: 4.5 3.0 (3795), -133 (21) 270
26.6: 5.2 2.8 (3908), -130 (22) 270
26.7: 6.0 2.6 (2870), -127 (22) 270
26.8: 7.2 2.4 (2159), -123 (25) 270
26.9: 7.6 2.1 (930), -108 (38) 270
27.0: 6.6 2.2 (556), -89 (64) 270
27.1: 8.0 2.1 (1059), -23 (39) 344 196
27.2: 8.5 2.4 (2054), -10 (29) 353 187
27.3: 8.4 2.7 (3317), -3 (22) 358 182
27.4: 7.7 2.8 (3727), -1 (20) 359 181
27.5: 7.4 3.1 (4335), 1 (18) 1 179
27.6: 7.1 3.3 (4402), 2 (17) 1 179
27.7: 7.1 3.6 (4712), 2 (14) 1 179
27.8: 6.4 3.4 (4521), 2 (16) 1 179
27.9: 5.4 2.9 (3774), 2 (16) 1 179
28.0: 2.3 2.0 (51), -4 (38) 357 183
28.1: 2.0 2.0 (4), 148 (31) 90
28.5: 2.0 2.5 (39), 149 (22) 90
29.8: 2.0 2.0 (6), 171 (13) 90
30.0: 2.0 2.1 (14), 146 (21) 90
30.1: 2.0 2.0 (2), -180 (0) 270
30.3: 2.0 2.0 (4), -180 (0) 270
30.4: 2.0 2.0 (4), -180 (0) 270
31.4: 2.0 2.0 (2), -180 (0) 270
31.5: 2.0 2.0 (5), -180 (0) 270
43.6: 2.0 2.0 (4), 90 (0) 43 137
43.9: 2.0 2.0 (2), 90 (0) 43 137
44.7: 2.0 2.0 (2), 117 (0) 61 119
44.8: 2.0 2.0 (4), 90 (0) 42 138
45.0: 2.6 2.0 (383), 133 (24) 80 100
45.1: 2.5 2.0 (4), 103 (13) 49 131
45.2: 2.0 2.0 (1), 90 (0) 41 139
45.3: 2.0 2.0 (2), 117 (0) 59 121
45.4: 2.0 2.0 (13), 108 (23) 52 128
45.5: 2.0 2.0 (6), 99 (13) 46 134
46.0: 2.0 2.0 (1), 90 (0) 41 139
46.6: 2.0 2.0 (2), 90 (0) 40 140
47.5: 2.0 2.0 (25), 115 (19) 54 126
47.8: 2.0 2.0 (2), 117 (0) 54 126
47.9: 2.0 2.0 (2), 90 (0) 39 141
48.5: 2.0 2.0 (6), 120 (26) 55 125
48.8: 2.0 2.0 (12), 118 (30) 54 126
48.9: 2.0 2.0 (2), 153 (0) 90
49.1: 2.0 2.0 (4), 161 (18) 90
49.2: 2.0 2.0 (12), 141 (29) 72 108
49.3: 2.0 2.0 (12), 145 (33) 77 103
49.4: 2.0 2.0 (38), 167 (13) 90
49.5: 2.1 2.0 (13), 149 (29) 90
49.6: 2.0 2.0 (67), 162 (21) 90
49.7: 2.0 2.0 (34), 168 (18) 90
49.8: 2.0 2.0 (27), 161 (18) 90
49.9: 2.0 2.0 (65), 166 (17) 90
50.0: 2.1 2.0 (6133), 157 (25) 90
50.1: 2.0 2.0 (37), 177 (8) 90
50.2: 2.0 2.0 (76), 165 (20) 90
50.3: 2.0 2.0 (48), 172 (12) 90
50.4: 2.0 2.0 (130), 171 (16) 90
50.5: 2.0 2.0 (13), 176 (10) 90
51.5: 2.0 2.0 (8), -112 (26) 314 226
51.6: 2.0 2.0 (52), -114 (29) 313 227
51.7: 2.0 2.0 (29), -102 (24) 319 221
51.8: 2.0 2.0 (22), -102 (13) 319 221
51.9: 2.0 2.0 (16), -97 (12) 322 218
52.0: 2.0 2.0 (28), -98 (18) 321 219
52.1: 2.0 2.0 (12), -100 (28) 321 219
52.2: 2.0 2.0 (17), -99 (31) 321 219
52.3: 2.0 2.0 (18), -101 (22) 320 220
52.4: 2.0 2.0 (16), -100 (13) 321 219
52.5: 2.0 2.0 (24), -92 (7) 325 215
52.6: 2.0 2.0 (39), -98 (14) 322 218
52.7: 2.0 2.3 (11), -94 (13) 324 216
52.8: 2.0 2.0 (29), -95 (11) 323 217
52.9: 2.0 2.0 (21), -91 (10) 325 215
53.0: 2.0 2.0 (126), -109 (20) 317 223
53.1: 2.0 2.0 (28), -94 (9) 324 216
53.2: 2.0 2.0 (46), -97 (12) 323 217
53.3: 2.0 2.0 (29), -102 (26) 321 219
53.4: 2.0 2.0 (21), -92 (8) 325 215
53.5: 2.0 2.0 (44), -95 (10) 324 216
53.6: 2.0 2.0 (44), -98 (13) 323 217
53.7: 2.0 2.0 (21), -92 (8) 325 215
53.8: 2.0 2.0 (56), -102 (24) 321 219
53.9: 2.0 2.1 (19), -93 (8) 325 215
54.0: 2.0 2.0 (23), -92 (8) 326 214
54.1: 2.0 2.0 (18), -107 (29) 319 221
54.2: 2.0 2.1 (17), -95 (22) 325 215
54.3: 2.0 2.0 (12), -90 (0) 326 214
54.4: 2.0 2.0 (26), -99 (16) 323 217
54.5: 2.0 2.0 (27), -100 (18) 323 217
54.6: 2.0 2.2 (29), -105 (21) 320 220
54.7: 2.0 2.0 (24), -94 (10) 325 215
54.8: 2.0 2.0 (4), -121 (31) 313 227
54.9: 2.0 2.0 (4), -103 (13) 321 219
55.0: 2.0 2.0 (20), -100 (13) 323 217
55.1: 2.0 2.0 (2), -90 (0) 327 213
55.2: 2.0 2.0 (2), -117 (0) 315 225
55.3: 2.0 2.0 (8), -97 (12) 324 216
55.4: 2.0 2.0 (10), -97 (15) 325 215
55.5: 2.0 2.0 (74), -113 (26) 317 223
55.6: 2.0 2.0 (37), -98 (12) 324 216
55.7: 2.0 2.0 (23), -117 (28) 316 224
55.8: 2.0 2.0 (24), -90 (0) 328 212
55.9: 2.0 2.0 (86), -107 (24) 321 219
56.0: 2.0 2.0 (5), -90 (0) 328 212
56.1: 2.0 2.0 (24), -97 (12) 325 215
56.2: 2.0 2.1 (24), -97 (12) 325 215
56.3: 2.0 2.0 (20), -90 (0) 328 212
56.4: 2.0 2.0 (28), -112 (25) 319 221
56.5: 2.0 2.0 (4), -103 (13) 323 217
56.6: 2.0 2.0 (6), -105 (24) 322 218
56.7: 2.0 2.0 (10), -108 (36) 321 219
56.8: 2.0 2.0 (4), -153 (0) 296 244
56.9: 2.0 2.0 (2), -90 (0) 328 212
57.0: 2.0 2.0 (4), -90 (0) 328 212
57.1: 2.0 2.0 (4), -103 (13) 323 217
57.4: 2.0 2.0 (5), -90 (0) 329 211
57.5: 2.0 2.0 (6), -108 (13) 321 219
57.6: 2.0 2.0 (2), -90 (0) 329 211
57.7: 2.0 2.0 (4), -90 (27) 329 211
57.8: 2.0 2.0 (2), -117 (0) 318 222
57.9: 2.0 2.0 (2), -90 (0) 329 211
58.0: 2.0 2.0 (5), -106 (13) 323 217
58.2: 2.0 2.0 (8), -126 (16) 314 226
58.4: 2.0 2.0 (2), -117 (0) 318 222
58.6: 2.0 2.0 (6), -120 (26) 317 223
59.0: 2.0 2.0 (4), -103 (13) 325 215
59.2: 2.0 2.0 (4), -90 (0) 330 210
59.3: 2.0 2.0 (2), -90 (0) 330 210
59.6: 2.0 2.0 (2), -90 (0) 330 210
59.7: 2.0 2.0 (2), -90 (0) 330 210
59.9: 2.0 2.0 (2), -90 (0) 330 210
60.4: 2.0 2.0 (16), -148 (27) 306 234
61.7: 2.0 2.0 (6), 0 (0) 0 180
61.8: 2.0 3.5 (2), 50 (5) 16 164
61.9: 2.0 3.5 (4), 16 (2) 5 175
62.1: 2.0 4.0 (2), 27 (0) 8 172
62.4: 2.0 3.0 (2), 0 (0) 0 180
62.5: 2.0 3.0 (2), -18 (0) 354 186
62.6: 2.0 3.0 (3), 6 (8) 2 178
62.8: 2.0 3.0 (2), 18 (0) 5 175
88.8: 2.0 2.0 (3943), -65 (16) 346 194
92.4: 12.1 3.4 (639998), -100 (7) 339 201 69 111
94.8: 5.0 2.0 (2), -22 (0) 356 184
94.9: 5.2 2.0 (323532), -9 (13) 358 182
95.0: 3.0 2.0 (4), -9 (9) 358 182
96.9: 2.5 2.2 (1737), -116 (16) 337 203 57 123
97.0: 6.3 5.2 (639984), -119 (6) 336 204 56 124
97.1: 2.6 2.2 (3264), -114 (16) 337 203 58 122
99.0: 3.0 2.0 (2), -72 (0) 346 194 76 104
99.1: 4.1 2.0 (428421), -52 (16) 350 190 90
99.2: 4.0 2.0 (6), -66 (24) 347 193 81 99
101.4: 7.7 2.8 (639659), -76 (0) 346 194 69 111
104.1: 4.5 2.0 (626), -90 (13) 343 197 60 120
104.2: 8.9 3.2 (638814), -92 (7) 343 197 59 121
104.3: 4.8 2.0 (530), -92 (11) 343 197 59 121
104.7: 2.0 2.3 (6), 117 (26) 309 231 22 158
104.8: 2.0 3.9 (2340), 119 (23) 310 230 22 158
105.1: 3.0 2.1 (2839), 38 (19) 270 7 173
105.2: 6.6 4.0 (639504), 38 (9) 270 7 173
105.3: 2.4 2.0 (880), 31 (22) 270 6 174
106.1: 2.5 2.0 (19067), 48 (23) 281 259 9 171
106.2: 2.0 2.0 (16), 44 (31) 277 263 8 172
106.6: 2.8 2.1 (1808), 10 (34) 270 2 178
106.7: 7.0 4.7 (639925), 41 (19) 275 265 7 173
106.8: 3.0 2.0 (22357), -61 (47) 349 191 69 111
106.9: 6.7 2.2 (112321), -90 (15) 344 196 57 123
107.0: 31.1 9.7 (639889), -92 (3) 344 196 57 123
107.1: 7.3 2.4 (92933), -90 (13) 344 196 57 123
107.2: 5.2 2.0 (1475), -89 (13) 344 196 58 122
107.3: 2.2 2.0 (32), -50 (40) 351 189 75 105
107.4: 2.2 2.0 (25730), 3 (22) 0 180
107.5: 2.0 2.0 (4), 0 (0) 0 180
